#_of_samples Prop_diam(inch) X_position(mm) Y_position(mm) Torque(Nm) Thrust(N) Omega(rad/s) Airspeed(m/s) AoA(deg) AoSS(deg) V_tan(m/s) V_rad(m/s) V_axial(m/s) Chord_angle(deg) Chord_angle_eff(deg) Chord_length(mm) Chord_length_eff(mm) Helix_angle_eff(deg) Alpha_angle(deg) V_total(m/s) V_lift(m/s) V_drag(m/s) CL CD Reynolds_number V_a+r(m/s) D/R_ratio 
2 20.2 87 1 0.16 6.06 211.93 7.33 19.49 -8.94 2.43 -1.08 6.81 13.7 13.73 49.5 49.61 23.00 -9.27 17.43 7.22 -0.42 0.828 -0.049 58428 6.90 0.4
2 20.2 90 1 0.16 6.06 211.89 7.64 12.24 -7.23 1.59 -0.93 7.31 13.5 13.52 49.68 49.75 22.67 -9.15 18.97 7.36 -1.35 0.776 -0.142 63767 7.37 0.4
2 20.2 93 1 0.16 6.06 212.00 7.35 8.16 -8.03 0.99 -1.03 7.20 13.3 13.32 49.69 49.77 21.00 -7.68 20.09 7.08 -1.66 0.705 -0.165 67549 7.27 0.4
2 20.2 96 1 0.16 6.06 211.93 6.63 13.71 -6.08 1.57 -0.69 6.40 12.9 12.91 49.43 49.46 18.81 -5.90 19.85 6.56 -0.58 0.661 -0.058 66335 6.44 0.4
2 20.2 99 1 0.16 6.06 211.88 6.68 10.41 -6.22 1.21 -0.71 6.51 12.6 12.61 49.33 49.36 18.22 -5.61 20.82 6.56 -0.89 0.630 -0.085 69449 6.55 0.4
2 20.2 102 1 0.16 6.06 211.92 7.14 14.00 -8.99 1.72 -1.08 6.82 12.1 12.12 49.23 49.30 18.90 -6.78 21.06 7.01 -0.58 0.666 -0.055 70156 6.90 0.4
2 20.2 105 1 0.16 6.06 211.89 7.20 14.14 -10.59 1.75 -1.28 6.84 11.7 11.72 49.13 49.23 18.42 -6.70 21.65 7.04 -0.50 0.651 -0.046 72001 6.96 0.4
2 20.2 108 1 0.16 6.06 211.84 7.37 15.01 -8.28 1.90 -1.02 6.98 11.4 11.41 48.87 48.93 18.38 -6.97 22.13 7.22 -0.40 0.653 -0.036 73170 7.05 0.4
2 20.2 111 1 0.16 6.06 212.01 6.95 15.18 -6.19 1.80 -0.72 6.62 11.1 11.11 48.23 48.26 16.93 -5.83 22.73 6.86 -0.21 0.603 -0.018 74114 6.66 0.4
2 20.2 114 1 0.16 6.06 212.00 6.83 12.27 -6.78 1.46 -0.79 6.63 10.9 10.91 47.73 47.76 16.27 -5.36 23.67 6.77 -0.46 0.572 -0.038 76380 6.68 0.4
2 20.2 117 1 0.16 6.06 212.02 6.93 10.26 -7.89 1.23 -0.94 6.75 10.8 10.81 47.26 47.30 15.96 -5.16 24.54 6.83 -0.67 0.556 -0.055 78430 6.82 0.4
2 20.2 120 1 0.16 6.06 212.07 7.22 8.75 -8.94 1.08 -1.11 7.04 10.7 10.71 46.63 46.68 16.10 -5.39 25.39 7.06 -0.91 0.556 -0.072 80076 7.13 0.4
2 20.2 123 1 0.16 6.06 211.86 7.03 10.84 -6.78 1.31 -0.81 6.85 10.5 10.51 45.83 45.85 15.46 -4.96 25.69 6.95 -0.56 0.541 -0.044 79601 6.90 0.4
2 20.2 126 1 0.16 6.06 211.82 7.10 10.87 -6.57 1.33 -0.80 6.92 10.4 10.41 45.03 45.05 15.26 -4.85 26.30 7.03 -0.54 0.534 -0.041 80055 6.97 0.4
2 20.2 129 1 0.16 6.06 211.77 7.08 10.86 -6.61 1.33 -0.80 6.91 10.2 10.20 44.19 44.21 14.88 -4.68 26.90 7.02 -0.49 0.522 -0.036 80366 6.96 0.4
2 20.2 132 1 0.16 6.06 211.86 7.10 10.61 -6.47 1.31 -0.79 6.93 10.1 10.10 43.28 43.30 14.57 -4.46 27.55 7.04 -0.48 0.511 -0.034 80609 6.97 0.4
2 20.2 135 1 0.16 6.06 211.91 7.20 10.12 -7.04 1.26 -0.86 7.02 10 10.00 42.41 42.43 14.39 -4.38 28.25 7.11 -0.52 0.504 -0.037 80985 7.07 0.4
2 20.2 138 1 0.16 6.06 211.93 7.14 12.34 -7.07 1.52 -0.85 6.91 9.8 9.80 41.58 41.60 13.99 -4.18 28.59 7.07 -0.20 0.495 -0.014 80352 6.96 0.4
2 20.2 141 1 0.16 6.06 211.93 7.11 13.96 -5.56 1.72 -0.67 6.86 9.6 9.60 40.81 40.82 13.69 -4.08 28.99 7.07 0.05 0.488 0.003 79970 6.89 0.4
2 20.2 144 1 0.16 6.06 211.95 7.17 13.54 -5.03 1.68 -0.61 6.94 9.4 9.40 40.1 40.11 13.53 -4.12 29.67 7.14 0.01 0.481 0.001 80408 6.97 0.4
2 20.2 147 1 0.16 6.06 212.16 7.11 13.15 -2.71 1.62 -0.32 6.90 9.3 9.30 39.42 39.42 13.13 -3.83 30.36 7.09 0.01 0.467 0.001 80879 6.91 0.4
2 20.2 150 1 0.16 6.06 211.96 7.18 12.77 -4.12 1.58 -0.51 6.97 9.1 9.10 38.82 38.83 12.99 -3.89 31.01 7.15 -0.03 0.461 -0.002 81354 6.99 0.4
2 20.2 153 1 0.16 6.06 211.84 7.26 14.50 -4.32 1.81 -0.53 7.00 8.9 8.90 38.18 38.19 12.88 -3.98 31.40 7.23 0.20 0.460 0.013 81006 7.02 0.4
2 20.2 156 1 0.16 6.07 211.94 7.25 14.75 -2.71 1.84 -0.34 6.99 8.8 8.80 37.4 37.40 12.62 -3.82 32.00 7.22 0.27 0.451 0.017 80863 7.00 0.4
2 20.2 159 1 0.16 6.07 212.11 7.29 13.71 -3.47 1.73 -0.43 7.04 8.7 8.70 36.89 36.89 12.41 -3.71 32.76 7.25 0.18 0.442 0.011 81673 7.05 0.4
2 20.2 162 1 0.16 6.07 212.07 7.38 13.93 -6.12 1.78 -0.76 7.08 8.6 8.60 36.25 36.26 12.26 -3.66 33.34 7.30 0.24 0.438 0.014 81694 7.12 0.4
2 20.2 165 1 0.16 6.07 212.01 7.37 15.66 -6.07 1.99 -0.76 7.04 8.5 8.50 35.66 35.67 12.04 -3.54 33.74 7.30 0.48 0.433 0.028 81324 7.08 0.4
2 20.2 168 1 0.16 6.07 212.02 7.38 15.82 -5.67 2.02 -0.70 7.06 8.4 8.40 35.1 35.11 11.86 -3.46 34.34 7.32 0.53 0.427 0.031 81460 7.09 0.4
